City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Chunoyar,57.45,97.32,72.81,45,77,3.67,RU
Coyhaique,-45.58,-72.07,30.2,86,74,3.36,CL
Iguaí,-14.76,-40.09,61.79,92,46,4.03,BR
Vanimo,-2.67,141.3,80.49,79,60,5.03,PG
Puerto Escondido,15.85,-97.07,78.51,79,98,6.6,MX
Garissa,-0.45,39.64,89.82,38,65,21.72,KE
Wembley,-31.93,115.8,70.0,32,0,10.29,AU
Karratha,-20.74,116.85,75.45,25,40,11.12,AU
Half Moon Bay,37.46,-122.43,60.8,67,1,3.36,US
Bridlington,54.08,-0.19,61.0,59,64,3.36,GB
Xiaoshi,41.3,124.12,87.8,48,100,4.47,CN
Korla,41.76,86.15,89.2,15,0,2.35,CN
San Sebastián Tenango,18.65,-98.18,61.0,82,100,5.01,MX
Balaipungut,1.05,101.28,87.8,62,20,5.82,ID
Hauterive,46.09,3.45,69.8,45,9,4.7,FR
San Matías,-16.37,-58.4,69.28,56,100,4.79,BO
Zeya,53.75,127.27,88.14,46,100,1.57,RU
Little Current,45.98,-81.92,64.4,88,90,5.82,CA
Kajaani,64.23,27.73,62.6,55,0,9.17,FI
Salinópolis,-0.61,-47.36,76.46,87,10,8.21,BR
Alpena,45.06,-83.43,60.8,82,1,4.7,US
Donaueschingen,47.95,8.5,66.0,58,0,3.0,DE
Hong Kong,22.29,114.16,90.0,66,1,11.99,HK
Zyryanka,65.75,150.85,74.61,40,4,3.58,RU
Inyonga,-6.72,32.07,82.4,33,0,7.85,TZ
Nyrob,60.73,56.72,79.09,42,9,13.15,RU
Souillac,-20.52,57.52,71.6,78,75,16.11,MU
Opuwo,-18.06,13.84,69.01,22,0,14.56,NA
Mezen',65.85,44.24,61.88,83,65,9.01,RU
Devils Lake,48.11,-98.87,66.2,88,1,5.82,US
Farah,32.5,62.5,96.19,10,0,3.65,AF
Sebastian,35.17,-94.27,75.2,73,1,11.41,US
Dongsheng,39.82,109.98,60.67,84,100,8.34,CN
Havre-St-Pierre,50.23,-63.6,66.2,93,90,8.05,CA
Sirte,31.21,16.59,80.29,62,0,8.37,LY
Kostomuksha,64.57,30.58,63.99,50,3,9.15,RU
Meulaboh,4.14,96.13,79.59,81,98,5.14,ID
Beohāri,24.05,81.38,93.22,53,51,7.99,IN
Iralaya,15.0,-83.23,79.43,86,69,8.3,HN
Porbandar,21.64,69.61,86.63,76,19,18.9,IN
Vao,-22.67,167.48,71.47,76,49,15.93,NC
Āstāneh-ye Ashrafīyeh,37.26,49.94,80.6,69,40,4.7,IR
Gelemso,8.82,40.52,75.2,55,59,4.32,ET
Qalyub,30.18,31.21,84.2,54,40,8.05,EG
Beaverlodge,55.22,-119.44,50.0,93,40,4.7,CA
Port Augusta,-32.5,137.77,55.4,76,75,11.41,AU
Polson,47.69,-114.16,66.2,59,90,6.93,US
Mogadishu,2.04,45.34,78.8,69,75,16.11,SO
Caucayá,-0.19,-74.78,67.64,97,99,0.74,CO
Miandrivazo,-19.52,45.47,85.55,30,0,2.8,MG
Taltal,-25.4,-70.48,55.35,67,27,0.94,CL
Galveston,29.37,-94.97,82.4,88,1,8.05,US
Sambava,-14.27,50.17,75.43,76,59,11.65,MG
Xichang,27.9,102.26,73.58,72,100,0.49,CN
Navlya,52.83,34.5,82.4,45,20,8.95,RU
San Patricio,19.22,-104.7,79.2,86,100,2.77,MX
Freeport,40.66,-73.58,75.2,69,1,9.17,US
Pemba,-12.97,40.52,80.6,78,20,6.93,MZ
Dutse,11.76,9.34,80.31,66,100,12.73,NG
Hunchun,42.87,130.36,73.27,65,9,7.4,CN
Sorong,-0.88,131.25,77.95,78,100,3.36,ID
Totness,5.88,-56.32,76.46,89,35,8.46,SR
Northam,51.03,-4.22,64.99,72,90,3.0,GB
Clarksburg,39.28,-80.34,66.0,100,1,4.0,US
Wajima,37.4,136.9,68.0,88,40,3.36,JP
Bonney Lake,47.18,-122.19,61.0,87,90,3.94,US
Prince Rupert,54.32,-130.32,51.8,93,90,3.36,CA
Herrin,37.8,-89.03,77.0,88,40,6.93,US
Sittwe,20.15,92.9,84.24,79,99,10.85,MM
Canutama,-6.53,-64.38,72.93,86,39,0.85,BR
Ayagoz,47.97,80.44,76.19,35,71,14.52,KZ
Samarai,-10.62,150.67,78.66,88,22,16.58,PG
Hemsedal,60.86,8.55,46.99,68,89,6.11,NO
Henties Bay,-22.12,14.28,57.99,85,0,5.5,NA
Bodden Town,19.28,-81.25,81.0,85,11,6.06,KY
Arroyo de la Encomienda,41.61,-4.8,71.01,68,20,14.99,ES
Lagos,6.58,3.75,78.8,88,40,3.36,NG
Imbituba,-28.24,-48.67,62.6,100,75,9.17,BR
Beringovskiy,63.05,179.32,48.6,89,48,6.51,RU
General Pico,-35.66,-63.76,39.43,70,68,7.67,AR
Neuquén,-38.95,-68.06,41.0,72,95,4.7,AR
Perelyub,51.87,50.37,92.7,45,0,11.45,RU
Suna,57.83,50.06,76.03,61,0,12.01,RU
Kruisfontein,-34.0,24.73,58.23,36,5,12.66,ZA
Costa Rica,-23.42,-54.65,67.12,62,68,7.9,BR
Kuloy,61.03,42.49,67.24,54,91,12.03,RU
Fécamp,49.76,0.37,66.99,52,68,9.17,FR
Bilibino,68.05,166.44,63.1,77,73,4.05,RU
Cabildo,-38.48,-61.9,39.99,50,93,5.99,AR
Ghugus,19.93,79.13,93.22,51,72,7.85,IN
Laas,46.62,10.7,50.0,81,5,10.29,IT
Alofi,-19.06,-169.92,73.4,94,57,16.11,NU
Port-Gentil,-0.72,8.78,77.0,88,75,12.48,GA
Bonthe,7.53,-12.51,75.13,91,100,11.43,SL
Pop,40.87,71.11,91.4,24,20,6.93,UZ
Rochester,43.15,-77.62,69.01,93,40,8.05,US
